CO2,p,T,H2O,Points:0,Points:1,Points:2,H2O
0.98018,1.00E+07,350.72,0.01982,0,-0.0006,0.012332,9.91E-05
0.98066,1.00E+07,350.72,0.01934,0,0.001,0.0078965,9.67E-05
0.9807,1.00E+07,350.8,0.0193,0,0.0006,0.0031585,9.65E-05
0.98082,1.00E+07,350.78,0.01918,0,0.001,0.0055842,9.59E-05
0.98088,1.00E+07,350.67,0.01912,0,-0.0006,0.002459,9.56E-05
0.98124,1.00E+07,350.7,0.01876,0,-0.001,0.003632,9.38E-05
0.98128,1.00E+07,350.71,0.01872,0,0.0006,0.011753,9.36E-05
0.98128,1.00E+07,348.96,0.01872,0,0.0002,0.001772,9.36E-05
0.98224,1.00E+07,350.75,0.01776,0,0.001,0.005335,8.88E-05
0.98266,1.00E+07,350.66,0.01734,0,-0.001,0.0033945,8.67E-05
0.9827,1.00E+07,350.62,0.0173,0,-0.001,0.005335,8.65E-05
0.98282,1.00E+07,350.67,0.01718,0,0.0006,0.012042,8.59E-05
0.9829,1.00E+07,350.61,0.0171,0,-0.0006,0.012623,8.55E-05
0.98306,1.00E+07,350.73,0.01694,0,0.0006,0.0029239,8.47E-05
0.98318,1.00E+07,348.92,0.01682,0,-0.0002,0.0015458,8.41E-05
0.98352,1.00E+07,350.63,0.01648,0,0.001,0.0081613,8.24E-05
0.9836,1.00E+07,350.64,0.0164,0,0.0006,0.012332,8.20E-05
0.98382,1.00E+07,350.71,0.01618,0,0.001,0.0050873,8.09E-05
0.98394,1.00E+07,350.63,0.01606,0,-0.001,0.0031585,8.03E-05
0.98438,1.00E+07,350.58,0.01562,0,0.0006,0.012623,7.81E-05
0.98562,1.00E+07,348.75,0.01438,0,0.0002,0.0015458,7.19E-05
0.98564,1.00E+07,350.66,0.01436,0,0.001,0.004841,7.18E-05
0.98564,1.00E+07,350.65,0.01436,0,0.0006,0.0026907,7.18E-05
0.98568,1.00E+07,348.77,0.01432,0,-0.0002,0.0013209,7.16E-05
0.98586,1.00E+07,350.56,0.01414,0,0.001,0.0084277,7.07E-05
0.9859,1.00E+07,350.53,0.0141,0,-0.001,0.0055842,7.05E-05
0.98634,1.00E+07,350.56,0.01366,0,-0.001,0.0029239,6.83E-05
0.98652,1.00E+07,350.5,0.01348,0,-0.0006,0.0022286,6.74E-05
0.98706,1.00E+07,350.52,0.01294,0,0.001,0.0086957,6.47E-05
